iter	Passed	Remaining
672	3275	1591
673	3279	1586
674	3284	1581
675	3289	1576
676	3293	1571
677	3299	1566
678	3303	1561
679	3308	1556
680	3312	1551
681	3317	1546
682	3322	1541
683	3326	1536
684	3331	1531
685	3335	1526
686	3340	1521
687	3345	1517
688	3349	1511
689	3354	1507
690	3358	1502
691	3363	1497
692	3367	1491
693	3372	1487
694	3376	1481
695	3381	1476
696	3387	1472
697	3391	1467
698	3396	1462
699	3401	1457
700	3406	1452
701	3411	1448
702	3415	1443
703	3420	1437
704	3424	1432
705	3428	1427
706	3433	1422
707	3437	1417
708	3442	1412
709	3447	1408
710	3451	1403
711	3456	1398
712	3461	1393
713	3466	1388
714	3471	1383
715	3476	1378
716	3481	1374
717	3486	1369
718	3491	1364
719	3496	1359
720	3501	1355
721	3506	1350
722	3511	1345
723	3515	1340
724	3520	1335
725	3524	1330
726	3529	1325
727	3534	1320
728	3539	1315
729	3545	1311
730	3550	1306
731	3555	1301
732	3559	1296
733	3564	1291
734	3568	1286
735	3573	1281
736	3577	1276
737	3581	1271
738	3586	1266
739	3590	1261
740	3595	1256
741	3599	1251
742	3604	1246
743	3609	1241
744	3613	1236
745	3618	1231
746	3623	1227
747	3627	1222
748	3632	1217
749	3637	1212
750	3641	1207
751	3647	1202
752	3652	1198
753	3657	1193
754	3661	1188
755	3666	1183
756	3671	1178
757	3676	1173
758	3680	1168
759	3685	1163
760	3690	1159
761	3694	1154
762	3700	1149
763	3705	1144
764	3710	1139
765	3715	1135
766	3720	1130
767	3725	1125
768	3731	1120
769	3736	1116
770	3740	1111
771	3745	1106
772	3750	1101
773	3755	1096
774	3759	1091
775	3764	1086
776	3768	1081
777	3773	1076
778	3777	1071
779	3781	1066
780	3786	1061
781	3790	1056
782	3795	1051
783	3799	1046
784	3804	1042
785	3809	1037
786	3813	1032
787	3819	1027
788	3825	1023
789	3830	1018
790	3835	1013
791	3840	1008
792	3844	1003
793	3849	998
794	3853	993
795	3858	988
796	3862	983
797	3867	978
798	3872	974
799	3876	969
800	3881	964
801	3885	959
802	3890	954
803	3895	949
804	3900	944
805	3905	940
806	3909	935
807	3914	930
808	3919	925
809	3923	920
810	3927	915
811	3932	910
812	3936	905
813	3941	900
814	3945	895
815	3950	890
816	3954	885
817	3960	881
818	3964	876
819	3969	871
820	3974	866
821	3979	861
822	3985	857
823	3990	852
824	3995	847
825	4001	842
826	4006	838
827	4011	833
828	4016	828
829	4021	823
830	4026	818
831	4031	814
832	4036	809
833	4040	804
834	4045	799
835	4050	794
836	4054	789
837	4059	784
838	4064	779
839	4068	775
840	4073	770
841	4077	765
842	4083	760
843	4088	755
844	4093	750
845	4099	746
846	4104	741
847	4108	736
848	4113	731
849	4117	726
850	4122	721
851	4127	716
852	4131	712
853	4136	707
854	4141	702
855	4146	697
856	4152	692
857	4157	688
858	4162	683
859	4167	678
860	4171	673
861	4176	668
862	4180	663
863	4184	658
864	4189	653
865	4193	648
866	4199	644
867	4204	639
868	4210	634
869	4214	629
870	4219	624
871	4223	619
872	4228	615
873	4233	610
874	4238	605
875	4243	600
876	4249	595
877	4253	591
878	4258	586
879	4263	581
880	4268	576
881	4272	571
882	4277	566
883	4281	561
884	4286	556
885	4290	552
886	4295	547
887	4300	542
888	4304	537
889	4309	532
890	4314	527
891	4319	522
892	4324	518
893	4329	513
894	4334	508
895	4338	503
896	4343	498
897	4348	493
898	4352	488
899	4356	484
900	4361	479
901	4366	474
902	4371	469
903	4375	464
904	4380	459
905	4385	454
906	4390	450
907	4394	445
908	4399	440
909	4404	435
910	4409	430
911	4413	425
912	4418	421
913	4422	416
914	4427	411
915	4432	406
916	4436	401
917	4441	396
918	4446	391
919	4451	387
920	4456	382
921	4461	377
922	4466	372
923	4471	367
924	4476	362
925	4480	358
926	4485	353
927	4491	348
928	4496	343
929	4501	338
930	4506	333
931	4511	329
932	4515	324
933	4520	319
934	4525	314
935	4530	309
936	4535	304
937	4539	300
938	4543	295
939	4548	290
940	4553	285
941	4558	280
942	4562	275
943	4567	270
944	4573	266
945	4578	261
946	4582	256
947	4587	251
948	4592	246
949	4597	241
950	4601	237
951	4605	232
952	4610	227
953	4614	222
954	4619	217
955	4623	212
956	4628	207
957	4632	203
958	4636	198
959	4641	193
960	4646	188
961	4651	183
962	4656	178
963	4661	174
964	4665	169
965	4670	164
966	4674	159
967	4679	154
968	4683	149
969	4687	144
970	4692	140
971	4696	135
972	4701	130
973	4706	125
974	4710	120
975	4714	115
976	4719	111
977	4724	106
978	4728	101
979	4734	96
980	4739	91
981	4744	86
982	4749	82
983	4754	77
984	4759	72
985	4763	67
986	4768	62
987	4773	57
988	4777	53
989	4782	48
990	4787	43
991	4791	38
992	4796	33
993	4801	28
994	4805	24
995	4809	19
996	4814	14
997	4818	9
998	4823	4
999	4827	0
